                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.494,                 3.7749,                 3.8443,                0.00084,                0.27345,                0.00071,                  9e-05,                 3.9376,                 4.2323,                 4.1879,               0.000225,               0.000225,               0.000225
                      2,                 3.3099,                 3.6306,                 3.7138,                0.00071,                0.28139,                0.00173,                0.00019,                 3.8612,                 4.3005,                 4.1319,             0.00046067,             0.00046067,             0.00046067
                      3,                 3.0588,                 3.5093,                 3.5036,                0.00319,                0.91378,                0.02306,                0.00466,                  2.812,                 3.9442,                 3.5366,             0.00069446,             0.00069446,             0.00069446
                      4,                 2.8197,                 3.3947,                 3.2933,                0.00674,                      1,                0.09283,                0.03022,                 2.0667,                 9.2116,                 2.9968,             0.00092636,             0.00092636,             0.00092636
                      5,                 2.5989,                 3.3087,                 3.0966,                0.00335,                 0.9881,                0.06151,                0.02058,                 1.8996,                 4.0766,                 2.9197,              0.0011564,              0.0011564,              0.0011564
                      6,                 2.4156,                 3.2332,                 2.9389,                0.33522,                0.12392,                0.08191,                0.02969,                 1.9478,                 7.3658,                 2.9049,              0.0012252,              0.0012252,              0.0012252
                      7,                 2.2961,                 3.1468,                 2.8158,                0.26878,                    0.5,                0.04196,                0.01765,                 1.9943,                  8.921,                 3.2271,              0.0012252,              0.0012252,              0.0012252
                      8,                 2.1332,                 2.9331,                 2.6676,                0.01512,                0.62103,                0.02842,                0.01164,                 1.9871,                 4.5443,                  2.895,              0.0012203,              0.0012203,              0.0012203
                      9,                 1.9843,                 2.7597,                 2.5113,                 0.0577,                0.66865,                0.10655,                0.04619,                 1.7787,                 4.9258,                 2.8556,              0.0012154,              0.0012154,              0.0012154
                     10,                 1.9782,                 2.6906,                 2.4344,                0.16359,                0.72132,                0.27113,                  0.137,                 1.7124,                 3.1931,                 2.6446,              0.0012104,              0.0012104,              0.0012104
                     11,                 1.8559,                 2.5585,                 2.3201,                0.12096,                0.60065,                0.19885,                0.08612,                 1.8886,                 2.6368,                 2.8361,              0.0012055,              0.0012055,              0.0012055
                     12,                 1.8277,                  2.533,                 2.2991,                0.20636,                0.70653,                0.30702,                0.13111,                 1.8537,                  2.303,                 2.7288,              0.0012005,              0.0012005,              0.0012005
                     13,                 1.7685,                 2.4268,                 2.2101,                0.20849,                0.16468,                 0.2103,                0.08105,                 1.7709,                 2.5565,                 2.7915,              0.0011955,              0.0011955,              0.0011955
                     14,                 1.6764,                 2.3966,                 2.1502,                0.05973,                0.32774,                0.08483,                0.03485,                 1.9755,                  2.947,                 3.0644,              0.0011906,              0.0011906,              0.0011906
                     15,                 1.6524,                   2.34,                 2.1391,                0.23119,                0.65783,                0.30948,                0.17894,                 1.5084,                 2.1358,                 2.3956,              0.0011856,              0.0011856,              0.0011856
                     16,                   1.61,                 2.2815,                 2.0828,                0.24372,                 0.6358,                0.37848,                0.17066,                 1.8676,                 2.4419,                 2.6231,              0.0011807,              0.0011807,              0.0011807
                     17,                  1.601,                 2.2161,                 2.0717,                0.23796,                0.57324,                0.28689,                0.13336,                 1.6012,                 2.5243,                 2.4485,              0.0011757,              0.0011757,              0.0011757
                     18,                 1.6145,                 2.1711,                 2.0565,                0.29379,                0.56804,                0.40276,                0.21279,                 1.5879,                 2.4667,                 2.3566,              0.0011708,              0.0011708,              0.0011708
                     19,                 1.5506,                 2.1239,                 2.0026,                0.32604,                0.80862,                0.45799,                0.27072,                 1.4292,                 2.0276,                 2.2975,              0.0011658,              0.0011658,              0.0011658
                     20,                 1.5234,                 2.1102,                 1.9716,                0.27328,                 0.7877,                0.47401,                0.24556,                 1.5782,                 2.0572,                   2.37,              0.0011609,              0.0011609,              0.0011609
                     21,                 1.4686,                 2.0363,                 1.9158,                0.30566,                0.75176,                0.50152,                0.30562,                  1.361,                 2.1349,                  2.293,              0.0011559,              0.0011559,              0.0011559
                     22,                 1.4835,                 2.0423,                 1.9185,                0.24734,                0.76073,                0.37546,                0.19883,                 1.3798,                  2.244,                 2.3337,               0.001151,               0.001151,               0.001151
                     23,                 1.4409,                 1.9629,                 1.8904,                0.26425,                0.86234,                 0.4409,                0.24466,                 1.4915,                 1.9383,                 2.3695,              0.0011461,              0.0011461,              0.0011461
                     24,                 1.4304,                 1.9729,                 1.8714,                 0.3629,                0.80733,                0.50995,                0.30557,                 1.3709,                 1.8161,                 2.2157,              0.0011411,              0.0011411,              0.0011411
                     25,                 1.3821,                 1.9498,                   1.88,                 0.3453,                0.74809,                0.47201,                0.28633,                 1.4298,                 1.7318,                 2.3134,              0.0011362,              0.0011362,              0.0011362
                     26,                 1.3772,                 1.8651,                  1.824,                0.38866,                0.67203,                0.48103,                0.26783,                 1.5565,                 1.8541,                 2.3125,              0.0011312,              0.0011312,              0.0011312
                     27,                 1.3957,                 1.9027,                 1.8393,                0.38369,                 0.8373,                0.49133,                0.27818,                 1.4827,                 1.8083,                 2.2578,              0.0011263,              0.0011263,              0.0011263
                     28,                  1.405,                  1.874,                 1.8464,                0.34338,                0.87103,                0.43719,                0.26883,                 1.4203,                 1.6485,                 2.2276,              0.0011213,              0.0011213,              0.0011213
                     29,                 1.3644,                 1.8698,                 1.8228,                0.34305,                0.84921,                0.51582,                0.27972,                  1.582,                 1.6916,                 2.3777,              0.0011164,              0.0011164,              0.0011164
                     30,                 1.3713,                 1.8611,                 1.7828,                0.33339,                 0.8427,                0.50332,                0.30641,                 1.3773,                 1.8722,                 2.2683,              0.0011114,              0.0011114,              0.0011114
                     31,                 1.3073,                 1.8261,                  1.761,                0.35425,                 0.7909,                0.51121,                0.30845,                 1.3975,                 1.7802,                 2.1811,              0.0011065,              0.0011065,              0.0011065
                     32,                 1.3555,                 1.7964,                 1.7857,                0.32276,                0.86706,                0.54842,                0.34138,                 1.3363,                 1.5779,                 2.1287,              0.0011015,              0.0011015,              0.0011015
                     33,                 1.2736,                 1.8049,                 1.7509,                 0.3554,                0.84524,                0.54799,                0.33129,                 1.3114,                 1.5762,                 2.1208,              0.0010965,              0.0010965,              0.0010965
                     34,                 1.3495,                 1.7807,                 1.7428,                0.39421,                0.86785,                0.67344,                0.43038,                 1.2863,                 1.4545,                 2.1009,              0.0010916,              0.0010916,              0.0010916
                     35,                 1.2932,                 1.7726,                  1.744,                0.36274,                 0.7877,                 0.5784,                0.37702,                  1.277,                 1.5028,                 2.0501,              0.0010866,              0.0010866,              0.0010866
