                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3063,                 3.8507,                 2.0942,                0.00349,                      1,                 0.3651,                0.22996,                0.89281,                 3.5234,                 1.7408,               0.000225,               0.000225,               0.000225
                      2,                0.84382,                 2.7019,                 1.6404,                0.00379,                      1,                0.48929,                0.27133,                 1.1838,                  3.439,                 2.1308,             0.00041671,             0.00041671,             0.00041671
                      3,                0.85507,                 2.3249,                 1.5883,                0.61749,                0.45833,                0.64715,                0.38406,                 1.1413,                 3.0844,                  2.058,              0.0005614,              0.0005614,              0.0005614
                      4,                0.86044,                 1.9452,                 1.5821,                0.86767,                0.81148,                 0.8997,                0.62842,                 1.0534,                 2.1883,                 2.0904,             0.00065906,             0.00065906,             0.00065906
                      5,                0.84191,                 1.8142,                 1.5473,                0.90021,                 0.8399,                0.95126,                 0.6776,                 1.0899,                 2.0278,                 1.8551,              0.0007097,              0.0007097,              0.0007097
                      6,                   0.79,                 1.6715,                 1.5119,                 0.8809,                0.89584,                0.97925,                0.66006,                 1.1293,                 1.8785,                 1.8597,             0.00063125,             0.00063125,             0.00063125
                      7,                0.76761,                 1.6099,                 1.4783,                0.88386,                0.94048,                0.98773,                0.68096,                 1.1065,                 1.6316,                 1.8298,             0.00063125,             0.00063125,             0.00063125
                      8,                0.75595,                 1.4715,                 1.4863,                0.92623,                  0.984,                0.99278,                0.70776,                 1.0465,                 1.2707,                 1.7637,              0.0005075,              0.0005075,              0.0005075
                      9,                0.71513,                 1.3548,                 1.4165,                0.95535,                0.94161,                0.99061,                0.68447,                 1.0865,                 1.3604,                 1.7706,             0.00038375,             0.00038375,             0.00038375
                     10,                0.69464,                 1.2944,                  1.385,                0.94213,                0.96722,                  0.995,                0.72427,                0.99629,                 1.1633,                 1.6243,                0.00026,                0.00026,                0.00026
